Activity Type,Date,Favorite,Title,Place,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cardio,8/3/2024 9:20,FALSE,Cardio,Unknown,0,91,0:15:30,137,184,2.7,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,0:15:30,1,NaN,--,--,--,--,--,--,--,--,0:00:00,0:15:30,--,--
Strength Training,7/31/2024 9:01,FALSE,Strength,Unknown,0,266,0:49:59,137,169,2.6,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,6,1,No,0:49:59,1,NaN,--,--,--,--,--,--,--,--,0:49:59,0:49:59,--,--
Strength Training,7/30/2024 9:49,FALSE,Strength,Unknown,0,331,1:15:21,128,157,2.6,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,6,1,No,1:15:21,1,NaN,--,--,--,--,--,--,--,--,1:15:21,1:15:21,--,--
Strength Training,7/26/2024 10:55,FALSE,Strength,Unknown,0,386,1:59:40,121,156,2.2,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,5,1,No,1:59:40,1,NaN,--,--,--,--,--,--,--,--,1:59:40,1:59:40,--,--
Strength Training,7/24/2024 8:59,FALSE,Strength,Unknown,0,364,1:01:33,144,172,3.2,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,5,2,No,1:01:33,1,NaN,--,--,--,--,--,--,--,--,1:01:29,1:01:33,--,--
Strength Training,7/22/2024 8:08,FALSE,Strength,Unknown,0,277,0:53:53,136,163,2.8,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,7,1,No,0:53:53,1,NaN,--,--,--,--,--,--,--,--,0:53:53,0:53:53,--,--
Strength Training,7/21/2024 7:21,FALSE,Strength,Unknown,0,321,1:20:16,125,159,2.2,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,7,1,No,1:20:16,1,NaN,--,--,--,--,--,--,--,--,1:20:16,1:20:16,--,--
Strength Training,7/17/2024 6:45,FALSE,Strength,Unknown,0,195,0:35:37,133,164,2.4,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,10,1,No,0:35:37,1,NaN,--,--,--,--,--,--,--,--,0:35:37,0:35:37,--,--
Strength Training,7/15/2024 9:00,FALSE,Strength,Unknown,0,293,0:53:57,134,164,2.7,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,9,1,No,0:53:57,1,NaN,--,--,--,--,--,--,--,--,0:53:57,0:53:57,--,--
Strength Training,7/8/2024 8:55,FALSE,Strength,Unknown,0,148,0:38:47,113,144,1.1,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,7,1,No,0:38:47,1,NaN,--,--,--,--,--,--,--,--,0:38:47,0:38:47,--,--
Strength Training,6/14/2024 10:18,FALSE,Strength,Unknown,0,209,1:03:12,108,159,1.2,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,7,1,No,1:03:12,1,NaN,--,--,--,--,--,--,--,--,1:03:12,1:03:12,--,--
Strength Training,6/11/2024 9:17,FALSE,Strength,Unknown,0,303,1:11:18,122,162,2.1,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,7,1,No,1:11:18,1,NaN,--,--,--,--,--,--,--,--,1:11:18,1:11:18,--,--
Strength Training,6/8/2024 9:11,FALSE,Strength,Unknown,0,257,1:02:43,121,166,2,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,5,1,No,1:02:43,1,NaN,--,--,--,--,--,--,--,--,1:02:43,1:02:43,--,--
Strength Training,6/6/2024 10:14,FALSE,Strength,Unknown,0,291,1:00:42,127,170,2.5,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,7,1,No,1:00:42,1,NaN,--,--,--,--,--,--,--,--,1:00:42,1:00:42,--,--
Strength Training,6/4/2024 10:05,FALSE,Strength,Unknown,0,267,0:52:10,132,161,2.4,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,3,1,No,0:52:10,1,NaN,--,--,--,--,--,--,--,--,0:52:10,0:52:10,--,--
Strength Training,6/3/2024 9:13,FALSE,Strength,Unknown,0,212,0:58:00,114,141,0.9,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,9,1,No,0:58:00,1,NaN,--,--,--,--,--,--,--,--,0:58:00,0:58:00,--,--
Strength Training,5/30/2024 15:03,FALSE,Strength,Unknown,0,266,0:55:12,131,173,2.5,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,4,1,No,0:55:12,1,NaN,--,--,--,--,--,--,--,--,0:55:12,0:55:12,--,--
Strength Training,5/29/2024 10:06,FALSE,Strength,Unknown,0,197,0:47:51,120,151,1.4,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,10,1,No,0:47:51,1,NaN,--,--,--,--,--,--,--,--,0:47:51,0:47:51,--,--
Strength Training,5/27/2024 15:20,FALSE,Strength,Unknown,0,199,0:57:09,111,146,1.1,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,6,1,No,0:57:09,1,NaN,--,--,--,--,--,--,--,--,0:57:09,0:57:09,--,--
Running,5/26/2024 11:11,FALSE,Brussels Running,Brussels,20.37,"1,152",2:21:12,174,192,5,165,250,6:56,4:30,276,267,0.88,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,02:02.9,21,NaN,--,--,--,--,--,--,--,--,2:20:53,2:21:17,48,128
Cardio,5/22/2024 16:41,FALSE,Cardio,Unknown,0,127,0:15:05,168,180,2.8,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,0:15:05,1,NaN,--,--,--,--,--,--,--,--,0:00:00,0:15:05,--,--
Running,5/22/2024 16:23,FALSE,Zemst Running,Zemst,2.58,122,0:13:48,150,169,3,171,195,5:21,3:19,21,24,1.1,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,02:53.5,3,NaN,--,--,--,--,--,--,--,--,0:13:41,0:17:27,8,23
Running,5/20/2024 9:03,FALSE,Zemst Running,Zemst,9.96,544,1:02:19,173,188,5,173,179,6:15,5:25,66,64,0.92,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,06:02.0,10,NaN,--,--,--,--,--,--,--,--,1:02:07,1:05:20,-2,21
Cardio,5/17/2024 14:54,FALSE,Cardio,Unknown,0,83,09:43.2,172,192,2.5,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,09:43.2,1,NaN,--,--,--,--,--,--,--,--,0:00:00,09:43.2,--,--
Running,5/17/2024 14:38,FALSE,Zemst Running,Zemst,2.11,105,0:11:10,153,170,3,174,187,5:18,4:12,14,17,1.08,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,00:34.7,3,NaN,--,--,--,--,--,--,--,--,0:11:10,0:14:21,8,21
Running,5/15/2024 14:47,FALSE,Zemst Running,Zemst,4.3,221,0:26:34,161,185,3.3,172,233,6:11,5:32,7,7,0.94,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,01:43.1,5,NaN,--,--,--,--,--,--,--,--,0:26:31,0:34:56,6,15
Running,5/14/2024 9:11,FALSE,Zemst Running,Zemst,4.01,214,0:23:29,171,184,3.6,173,238,5:52,4:47,25,25,0.99,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,00:02.7,5,NaN,--,--,--,--,--,--,--,--,0:23:28,0:23:29,8,20
Running,5/12/2024 14:20,FALSE,Zemst Running,Zemst,6.88,387,0:45:29,174,188,4,169,174,6:37,6:01,11,12,0.9,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,05:29.7,7,NaN,--,--,--,--,--,--,--,--,0:45:27,0:48:42,6,18
Running,5/10/2024 10:18,FALSE,Zemst Running,Zemst,8.18,464,0:57:52,168,190,4.2,150,228,7:04,5:01,30,34,0.94,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,01:05.1,9,NaN,--,--,--,--,--,--,--,--,0:57:38,1:05:53,-2,14
Running,5/8/2024 8:28,FALSE,Zemst Running,Zemst,8.54,460,0:53:19,165,188,4.4,171,177,6:15,5:49,42,45,0.94,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,03:22.4,9,NaN,--,--,--,--,--,--,--,--,0:52:59,0:58:22,-2,15
Running,5/7/2024 14:45,FALSE,Zemst Running,Zemst,2.68,133,0:14:57,174,191,3.2,173,179,5:35,4:44,6,7,1.03,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,03:28.9,3,NaN,--,--,--,--,--,--,--,--,0:14:57,0:14:57,8,20
Running,5/5/2024 13:46,FALSE,Zemst Running,Zemst,10.54,559,1:05:28,169,187,4.5,172,240,6:13,5:05,24,27,0.93,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,03:18.5,11,NaN,--,--,--,--,--,--,--,--,1:05:01,1:21:43,4,17
Running,5/1/2024 14:52,FALSE,Zemst Running,Zemst,5.15,279,0:33:55,167,189,3.7,158,239,6:35,5:29,14,15,0.96,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,00:50.5,6,NaN,--,--,--,--,--,--,--,--,0:33:46,0:34:01,-2,14
Running,4/30/2024 13:59,FALSE,Zemst Running,Zemst,5.22,284,0:36:51,155,172,3.3,166,172,7:03,5:41,3,3,0.86,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,01:33.5,6,NaN,--,--,--,--,--,--,--,--,0:36:43,0:37:39,6,15
Running,4/29/2024 15:50,FALSE,Zemst Running,Zemst,3.42,172,0:18:37,159,191,3.5,171,187,5:27,4:48,11,10,1.07,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,02:12.6,4,NaN,--,--,--,--,--,--,--,--,0:18:17,0:19:30,8,20
Running,4/28/2024 9:40,FALSE,Zemst Running,Zemst,8.45,452,0:51:29,176,192,4.8,173,182,6:05,5:39,35,35,0.95,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,02:44.9,9,NaN,--,--,--,--,--,--,--,--,0:51:13,1:01:07,-2,16
Running,4/26/2024 14:51,FALSE,Zemst Running,Zemst,3.41,179,0:21:25,167,184,3.2,156,218,6:17,4:51,21,20,1.02,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,02:04.3,4,NaN,--,--,--,--,--,--,--,--,0:21:24,0:21:32,8,21
Running,4/25/2024 7:01,FALSE,Leuven Running,Leuven,7.52,380,0:44:04,166,192,4.6,174,181,5:52,5:18,54,66,0.98,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,02:50.0,8,NaN,--,--,--,--,--,--,--,--,0:43:41,0:48:08,21,46
Running,4/23/2024 11:21,FALSE,Leuven Running,Leuven,3.65,164,0:19:35,166,189,3.3,174,237,5:22,4:38,13,8,1.07,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,03:18.4,4,NaN,--,--,--,--,--,--,--,--,0:19:18,0:25:02,29,46
Strength Training,4/22/2024 6:13,FALSE,Strength,Unknown,0,204,0:39:02,133,163,2.1,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,17,1,No,0:39:02,1,NaN,--,--,--,--,--,--,--,--,0:39:02,0:39:02,--,--
Running,4/21/2024 10:45,FALSE,Zemst Running,Zemst,7.91,426,0:48:32,174,194,4.7,174,250,6:08,5:31,34,35,0.93,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,05:40.8,8,NaN,--,--,--,--,--,--,--,--,0:48:20,0:49:02,-2,15
Running,4/19/2024 15:43,FALSE,Zemst Running,Zemst,9.52,510,0:57:03,175,189,5,172,183,5:59,5:25,30,35,0.97,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,02:52.9,10,NaN,--,--,--,--,--,--,--,--,0:56:29,1:02:46,6,21
Running,4/18/2024 12:22,FALSE,Zemst Running,Zemst,4.6,253,0:32:36,163,175,3.3,166,172,7:06,6:24,17,16,0.85,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,04:16.5,5,NaN,--,--,--,--,--,--,--,--,0:32:34,0:32:36,8,21
Running,4/17/2024 18:47,FALSE,Zemst Running,Zemst,4.4,227,0:24:57,167,186,4,173,220,5:40,3:42,13,15,1.02,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,02:07.2,5,NaN,--,--,--,--,--,--,--,--,0:24:56,0:24:57,8,21
Strength Training,4/12/2024 8:12,FALSE,Strength,Unknown,0,341,1:01:49,139,174,2.8,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,16,1,No,1:01:49,1,NaN,--,--,--,--,--,--,--,--,1:01:49,1:01:49,--,--
Running,4/11/2024 7:18,FALSE,Moscow Running,Moscow,2.86,144,0:16:39,171,193,3.2,164,185,5:49,4:50,7,10,1.05,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,04:58.9,3,NaN,--,--,--,--,--,--,--,--,0:16:36,0:17:49,159,169
Strength Training,4/10/2024 8:10,FALSE,Strength,Unknown,0,262,0:48:09,134,160,2.3,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,6,1,No,0:48:09,1,NaN,--,--,--,--,--,--,--,--,0:48:09,0:48:09,--,--
Running,4/9/2024 7:17,FALSE,Moscow Running,Moscow,3.34,178,0:19:45,178,194,3.5,163,189,5:55,3:49,6,8,1.04,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,01:45.4,4,NaN,--,--,--,--,--,--,--,--,0:19:39,0:19:45,160,169
Cardio,4/7/2024 10:00,FALSE,Cardio,Unknown,0,82,0:10:17,162,175,2.4,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,0:10:17,1,NaN,--,--,--,--,--,--,--,--,0:00:00,0:10:17,--,--
Strength Training,4/7/2024 9:12,FALSE,Strength,Unknown,0,245,0:46:39,132,165,2.4,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,6,1,No,0:46:39,1,NaN,--,--,--,--,--,--,--,--,0:46:39,0:46:39,--,--
Running,4/6/2024 7:50,FALSE,Moscow Running,Moscow,5.34,265,0:33:59,152,187,3.4,159,222,6:22,4:04,14,14,0.99,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,02:30.7,6,NaN,--,--,--,--,--,--,--,--,0:33:52,0:34:08,160,169
Cardio,4/4/2024 10:11,FALSE,Cardio,Unknown,0,79,0:10:13,161,180,2.5,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,0:10:13,1,NaN,--,--,--,--,--,--,--,--,0:00:00,0:10:13,--,--
Strength Training,4/4/2024 9:10,FALSE,Strength,Unknown,0,330,0:59:51,139,173,2.8,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,18,1,No,0:59:51,1,NaN,--,--,--,--,--,--,--,--,0:59:51,0:59:51,--,--
Running,4/3/2024 7:52,FALSE,Moscow Running,Moscow,3.64,169,0:22:15,145,161,3.1,160,187,6:07,4:24,11,10,1.03,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,04:20.9,4,NaN,--,--,--,--,--,--,--,--,0:22:07,0:22:31,160,170
Running,4/2/2024 8:21,FALSE,Moscow Running,Moscow,8.73,444,0:54:15,170,187,4.3,170,219,6:13,5:18,69,66,0.95,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,04:48.7,9,NaN,--,--,--,--,--,--,--,--,0:53:54,1:11:43,149,177
Cardio,4/1/2024 8:59,FALSE,Cardio,Unknown,0,94,0:12:12,157,166,2.4,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,0:12:12,1,NaN,--,--,--,--,--,--,--,--,0:00:00,0:12:12,--,--
Strength Training,4/1/2024 8:11,FALSE,Strength,Unknown,0,226,0:45:52,130,152,2.1,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,7,1,No,0:45:52,1,NaN,--,--,--,--,--,--,--,--,0:45:52,0:45:52,--,--
Strength Training,3/31/2024 7:57,FALSE,Strength,Unknown,0,265,0:52:03,131,164,2.2,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,7,1,No,0:52:03,1,NaN,--,--,--,--,--,--,--,--,0:52:03,0:52:03,--,--
Running,3/30/2024 7:54,FALSE,Moscow Running,Moscow,8.12,429,0:49:50,167,194,4.5,169,177,6:08,5:38,74,87,0.96,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,00:42.4,9,NaN,--,--,--,--,--,--,--,--,0:49:38,1:03:10,125,164
Strength Training,3/29/2024 8:14,FALSE,Strength,Unknown,0,268,0:49:54,132,169,2.5,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,4,1,No,0:49:54,1,NaN,--,--,--,--,--,--,--,--,0:49:54,0:49:54,--,--
Strength Training,3/28/2024 10:26,FALSE,Strength,Unknown,0,268,0:42:01,149,178,3,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,5,1,No,0:42:01,1,NaN,--,--,--,--,--,--,--,--,0:42:01,0:42:01,--,--
Running,3/27/2024 12:12,FALSE,Moscow Running,Moscow,2.69,124,0:15:13,156,187,3,175,183,5:39,5:04,7,6,1.01,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,03:53.8,3,NaN,--,--,--,--,--,--,--,--,0:15:09,0:15:26,161,169
Running,3/25/2024 17:24,FALSE,Zemst Running,Zemst,2.65,149,0:20:03,155,179,2.6,111,240,7:35,3:13,4,5,1.2,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,04:41.2,3,NaN,--,--,--,--,--,--,--,--,0:19:53,0:20:04,9,13
Strength Training,3/22/2024 5:42,FALSE,Strength,Unknown,0,270,1:02:17,127,168,2.2,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,18,1,No,1:02:17,1,NaN,--,--,--,--,--,--,--,--,1:02:17,1:02:17,--,--
Running,3/21/2024 10:53,FALSE,Leuven Running,Leuven,8.35,415,0:50:07,159,181,4.3,172,181,6:00,5:29,30,42,0.97,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,02:01.9,9,NaN,--,--,--,--,--,--,--,--,0:49:42,0:56:02,21,46
Strength Training,3/20/2024 5:43,FALSE,Strength,Unknown,0,203,0:41:09,128,162,2.1,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,11,1,No,0:41:09,1,NaN,--,--,--,--,--,--,--,--,0:41:09,0:41:09,--,--
Running,3/19/2024 11:01,FALSE,Leuven Running,Leuven,3.54,173,0:20:23,168,184,3.4,173,180,5:46,5:07,8,19,1,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,02:59.5,4,NaN,--,--,--,--,--,--,--,--,0:20:04,0:22:33,24,46
Running,3/18/2024 10:04,FALSE,Leuven Running,Leuven,3.63,167,0:19:25,162,185,3.4,171,183,5:21,4:35,7,1,1.09,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,03:20.2,4,NaN,--,--,--,--,--,--,--,--,0:18:54,0:25:48,35,46
Running,3/16/2024 15:58,FALSE,Middelkerke Running,Middelkerke,3.14,164,0:18:02,168,183,3.3,175,183,5:44,5:26,--,--,0.99,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,00:49.3,4,NaN,--,--,--,--,--,--,--,--,0:17:55,0:26:07,--,--
Running,3/15/2024 11:11,FALSE,Middelkerke Running,Middelkerke,5.55,286,0:32:02,175,187,4.3,174,181,5:46,5:06,38,43,0.99,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,03:12.6,6,NaN,--,--,--,--,--,--,--,--,0:31:56,0:33:21,2,21
Running,3/14/2024 10:58,FALSE,Middelkerke Running,Middelkerke,4.37,231,0:26:42,161,187,3.7,173,179,6:06,5:47,--,--,0.95,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,02:14.6,5,NaN,--,--,--,--,--,--,--,--,0:26:35,0:29:02,--,--
Strength Training,3/12/2024 5:46,FALSE,Strength,Unknown,0,230,0:52:23,124,151,1.8,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,11,1,No,0:52:23,1,NaN,--,--,--,--,--,--,--,--,0:52:23,0:52:23,--,--
Strength Training,3/11/2024 5:47,FALSE,Strength,Unknown,0,251,0:54:53,126,149,2,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,8,1,No,0:54:53,1,NaN,--,--,--,--,--,--,--,--,0:54:53,0:54:53,--,--
Running,3/10/2024 11:17,FALSE,Mechelen Running,Mechelen,10.05,553,1:01:43,181,192,5,173,200,6:09,4:10,44,42,0.94,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,00:12.6,11,NaN,--,--,--,--,--,--,--,--,1:01:39,1:01:43,--,15
Running,3/7/2024 11:25,FALSE,Leuven Running,Leuven,8.31,424,0:50:04,168,184,4.7,173,187,6:02,5:35,51,59,0.96,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,01:52.9,9,NaN,--,--,--,--,--,--,--,--,0:49:42,0:55:27,20,46
Strength Training,3/6/2024 6:11,FALSE,Strength,Unknown,0,267,0:52:42,133,163,2.4,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,13,1,No,0:52:42,1,NaN,--,--,--,--,--,--,--,--,0:52:42,0:52:42,--,--
Running,3/5/2024 14:09,FALSE,Leuven Running,Leuven,5.36,270,0:32:25,163,184,3.9,173,183,6:03,5:28,16,26,0.95,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,02:01.4,6,NaN,--,--,--,--,--,--,--,--,0:32:06,0:35:09,20,46
Strength Training,3/4/2024 5:44,FALSE,Strength,Unknown,0,247,1:01:38,121,149,1.8,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,7,1,No,1:01:38,1,NaN,--,--,--,--,--,--,--,--,1:01:38,1:01:38,--,--
